Age,Salary,Purchased
56,20237,1
46,35056,1
32,129548,1
25,126488,0
38,149415,1
56,44375,1
36,31964,0
40,128429,1
28,82215,1
28,84042,0
41,108468,0
53,24435,1
57,93832,1
41,66293,1
20,93781,0
39,58919,0
19,136172,1
41,109758,1
47,71573,0
55,74101,1
19,41646,0
38,119185,1
50,38049,1
29,113116,1
39,112379,1
42,83385,1
44,141131,1
59,38289,1
45,125226,1
33,115793,0
32,24823,1
20,56975,0
54,24540,0
24,31364,0
38,42663,0
26,66991,1
56,119182,1
35,109704,1
21,64115,1
42,106007,1
31,26938,1
26,106680,1
43,19000,0
19,116042,0
37,108610,1
45,118691,1
24,53304,0
25,84449,0
52,97986,1
31,123940,1
34,53494,1
53,18373,0
57,112532,1
21,107658,1
19,138633,1
23,115386,0
59,42350,0
21,108008,1
46,109297,1
35,40351,0
43,103668,1
51,129585,1
27,90353,1
53,80953,1
31,72458,1
48,35358,0
32,18267,0
25,97745,1
31,104588,1
40,53513,1
57,26338,1
38,146484,1
33,22543,0
35,120891,1
41,75692,1
43,59425,0
42,53756,1
58,33888,1
46,62295,0
32,129352,1
18,98042,0
42,100999,0
24,32955,1
26,52841,0
41,85640,1
18,76476,0
25,59811,0
41,86180,1
28,127856,1
34,83450,0
25,126888,1
52,125448,1
52,29397,0
50,146800,1
22,134180,1
59,81234,1
56,54954,1
58,94459,1
45,74163,1
24,66934,1
26,69098,0
25,20486,0
29,101900,0
51,141020,1
50,117795,1
40,102508,1
41,133324,1
54,75566,1
52,42192,0
57,16062,0
39,99076,1
44,104780,1
52,36689,1
18,26174,0
52,103461,1
54,141174,1
31,118033,1
20,24348,0
18,53102,0
22,89460,1
43,117634,1
31,104930,1
56,21801,1
44,118150,1
26,16542,0
32,36677,1
32,54081,0
43,108105,1
59,34065,0
30,103092,0
49,69693,0
56,41962,1
49,43295,1
21,28807,0
47,147396,1
54,106267,1
40,34870,1
56,41790,1
32,133874,1
46,40289,1
53,30485,0
30,59482,1
49,101188,1
24,19748,0
39,18709,0
45,138961,1
19,45355,0
59,57918,1
23,67224,1
45,54298,0
45,95219,1
37,76629,1
47,81040,1
28,43016,1
45,38960,0
42,48591,1
56,118333,1
50,129821,1
18,51395,0
44,144695,1
30,49620,1
58,143148,1
20,35559,0
56,108396,1
23,36732,0
25,106362,1
44,28843,0
26,129065,0
54,86726,1
50,32640,0
59,67528,1
41,53413,1
32,67638,1
49,125133,1
49,121357,1
41,93859,1
58,114657,1
29,26023,0
56,36447,0
19,140899,1
20,38959,0
54,81203,1
34,134156,1
19,24337,0
19,61427,0
45,76529,1
40,117023,1
54,99665,1
49,120787,1
50,48307,0
18,142016,1
36,19835,0
19,35159,0
43,136790,1
49,120616,1
23,93752,1
49,70284,0
21,72043,1
28,112007,1
34,97844,1
55,42532,1
41,137402,1
22,133012,1
51,71178,1
23,64407,1
39,65990,0
28,144473,1
33,73141,1
50,71570,1
26,16015,0
23,76813,1
33,42712,1
46,115497,0
20,127816,1
37,143778,1
53,77292,1
36,38833,1
43,35309,0
20,21970,0
36,87474,1
37,61540,1
49,33017,0
24,90880,1
58,120570,1
50,23702,1
57,146456,1
56,15404,1
35,27763,1
57,113142,0
18,95642,1
28,65612,0
45,38574,0
42,38524,1
40,25916,1
48,19809,1
47,136288,1
59,53765,0
52,60106,0
24,68932,1
33,72091,0
43,36949,0
19,52744,1
18,123319,0
29,107193,0
22,51187,0
54,139454,1
49,29489,1
26,76877,1
58,64922,1
52,109074,1
36,52131,0
33,130765,0
20,88963,0
37,121884,1
41,140917,1
50,39285,1
41,52626,0
28,34198,0
25,30254,0
53,59238,1
55,16252,0
57,54764,0
37,92709,1
52,68682,1
42,74494,1
52,96317,1
42,80215,1
46,93587,1
35,21949,0
35,70393,0
19,40934,1
52,90745,1
33,109456,0
58,68413,1
53,112239,1
50,57318,1
21,85390,1
50,58088,1
31,118196,1
38,70479,0
37,34963,0
25,70123,0
24,140911,1
20,117468,0
34,88477,0
50,29388,1
29,20569,0
39,84836,1
39,119573,1
47,60002,0
55,39071,1
55,73243,1
25,140827,1
44,123215,1
44,116570,1
51,84724,0
38,130359,1
47,90697,0
50,43732,1
45,136465,1
50,72108,1
22,126195,0
36,118081,1
21,51668,0
52,38061,1
34,94252,1
45,54749,1
47,145560,1
46,119680,1
23,66745,0
52,123464,1
58,106865,0
54,127428,1
41,38624,0
46,38321,1
48,37574,0
52,133831,1
50,110257,1
38,79291,0
49,142600,1
40,65428,1
